name,Sample,mark,seed_point_spacing,struts_diameter,relative_density_CAD,feature_size_mm_CAD,feature_size_um_CAD,feature_size_mm_sample,feature_size_um_sample,contatced_area_mm2_CAD,contatced_area_ratio_CAD,contacted_area_sample_mm2,contacted_ratio_sample,STATIC_COF,DYNAMIC_COF,WEAR
13,2202,2.0,0.2,0.2,0.984581868,0.06129032,6129032,0.190299471,1902994707,1880145791,0.957550405,1568038163,0.798595292,0.19215,0.1683,0.5049
13,2202,0.0,0.2,0.2,0.984581868,0.06129032,6129032,0.134385926,1343859259,1880145791,0.957550405,1825356196,0.929646293,0.1416,0.123130435,0.24626087
14,302,1.0,0.3,0.2,0.930832785,0.1158528,1158528,0.210686382,2106863816,1683998851,0.857653587,1365950369,0.695672822,0.17585,0.1268,0.634
14,302,2.0,0.3,0.2,0.930832785,0.1158528,1158528,0.185937205,1859372048,1683998851,0.857653587,1449849603,0.738402352,0.1841,0.16865,0.50595
14,302,0.0,0.3,0.2,0.930832785,0.1158528,1158528,,,1683998851,0.857653587,,,,,
15,402,1.0,0.4,0.2,0.685108097,0.21189003,21189003,0.285862746,2858627463,1384817581,0.705281815,1196988385,0.609621189,0.237,0.18085,0.454
15,402,2.0,0.4,0.2,0.685108097,0.21189003,21189003,0.30822845,3082284501,1384817581,0.705281815,1065347748,0.542577162,0.14765,0.1315,0.526
15,402,0.0,0.4,0.2,0.685108097,0.21189003,21189003,0.207502711,207502711,1384817581,0.705281815,1544257731,0.786484018,,,
16,502,1.0,0.5,0.2,0.528112595,0.29303892,29303892,0.298027426,298027426,1182860529,0.602425931,1308416518,0.666371072,0.20805,0.1763,0.529
16,502,2.0,0.5,0.2,0.528112595,0.29303892,29303892,0.297245864,2972458645,1182860529,0.602425931,12690146,0.646303839,0.29945,0.21445,107.225
16,502,0.0,0.5,0.2,0.528112595,0.29303892,29303892,,,1182860529,0.602425931,,,,,
